renamed_var,renamed_col,original_col,wave,question_wording,wording_source
q_elec_issue_imp_pos,q_elec_issue_imp_pos_raw,Q148,1,What are the important issues that personally matter to you in the upcoming European election? Please select all that apply.,United Kingdom
q_elec_issue_imp_val,q_elec_issue_imp_val_raw,Q150,1,What are the important issues that personally matter to you in the upcoming European election? Please select all that apply.,United Kingdom
q_election_challenge_polgroups,q_election_challenge_polgroups_raw,Q49_1,2,What is your opinion? - How likely do you think the upcoming elections will challenge the existing political groups and members of the European Parliament?,United Kingdom
q_election_impact_eu,q_election_impact_eu_raw,Q49_2,2,What is your opinion? - How likely do you think the upcoming elections will play a big role in shaping the European Parliament and the EU's next five years?,United Kingdom
q_election_importance_self,q_election_importance_self_raw,Q50,2,How important is the outcome of the upcoming election to you personally?,United Kingdom
q_eu_abolish,q_eu_abolish_raw,Q74_1,1,"Please tell me to what extent you agree or disagree with each of the following statements. - If the EU started making a lot of decisions that most people disagreed with, it might be better to do away with the EU altogether",United Kingdom
q_eu_abolish,q_eu_abolish_raw,Q26_1,2,"Please tell me to what extent you agree or disagree with each of the following statements. - If the EU started making a lot of decisions that most people disagreed with, it might be better to do away with the EU altogether",United Kingdom
q_eu_abolish,q_eu_abolish_raw,Q40_1,3,"Please tell me to what extent you agree or disagree with each of the following statements. - If the EU started making a lot of decisions that most people disagreed with, it might be better to do away with the EU altogether",United Kingdom
q_eu_abolish_fra,q_eu_abolish_fra_raw,Q40_1,2,"Dans quelle mesure êtes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes? - Si l’UE commençait à prendre de nombreuses décisions allant à l’encontre de la volonté de la majorité de la population, il serait alors peut-être préférable de mettre directement fin à l’UE.",France
q_eu_benefit_nat,q_eu_benefit_nat_raw,Q147_1,1,"Please tell me to what extent you agree or disagree with each of the following statements. - Taking everything into consideration, the UK has on balance benefited from being a member of the European Union",United Kingdom
q_eu_campaign_sources,q_eu_campaign_sources_raw,Q198,2,From which of the following sources have you heard anything about the upcoming European election campaign? Please indicate all that apply. - Selected Choice,United Kingdom
q_eu_campaign_sources,q_eu_campaign_sources_raw,Q199,3,"On Thursday, May 23 2019, the European elections were held. People use a variety of methods to gather and share information about political candidates, campaigns or political issues. 
Please tell us if you have done the following during the election campaign. Please indicate all that apply. - Selected Choice",United Kingdom
q_eu_campaign_sources_fra,q_eu_campaign_sources_fra_raw,Q199,2,"Les élections européennes ont eu lieu le 26 mai 2019. Les citoyens utilisent diverses méthodes pour recueillir et partager des informations sur les candidats, les campagnes ou les enjeux politiques. 
Veuillez nous dire si vous avez fait ce qui suit pendant la campagne électorale. Veuillez sélectionner toutes les réponses qui s'appliquent. - Selected Choice",France
q_eu_campaign_sources_other,q_eu_campaign_sources_other_raw,Q198_TEXT,2,NA,NA
q_eu_campaign_sources_other,q_eu_campaign_sources_other_raw,Q199_TEXT,3,NA,NA
q_eu_campaign_sources_other_fra,q_eu_campaign_sources_other_fra_raw,Q199_TEXT,2,NA,NA
q_eu_efficacy_care,q_eu_efficacy_care_raw,Q73_2,1,Please tell me to what extent you agree or disagree with each of the following statements. - The politicians in the EU care about what people like me think,United Kingdom
q_eu_efficacy_care,q_eu_efficacy_care_raw,Q21_2,2,Please tell me to what extent you agree or disagree with each of the following statements. - The politicians in the EU care about what people like me think,United Kingdom
q_eu_efficacy_care,q_eu_efficacy_care_raw,Q35_2,3,Please tell me to what extent you agree or disagree with each of the following statements. - The politicians in the EU care about what people like me think,United Kingdom
q_eu_efficacy_care_c,q_eu_efficacy_care_c_raw,Q239_2,2,Please tell me to what extent you agree or disagree with each of the following statements. - The politicians in the UK care about what people like me think,United Kingdom
q_eu_efficacy_care_fra,q_eu_efficacy_care_fra_raw,Q35_2,2,Dans quelle mesure êtes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes? - Les politiciens dans l'UE s'intéressent à ce que pensent les personnes comme moi,France
q_eu_efficacy_nosay,q_eu_efficacy_nosay_raw,Q73_3,1,Please tell me to what extent you agree or disagree with each of the following statements. - People like me don't have any say about what the EU does,United Kingdom
q_eu_efficacy_nosay,q_eu_efficacy_nosay_raw,Q21_3,2,Please tell me to what extent you agree or disagree with each of the following statements. - People like me don't have any say about what the EU does,United Kingdom
q_eu_efficacy_nosay,q_eu_efficacy_nosay_raw,Q35_3,3,Please tell me to what extent you agree or disagree with each of the following statements. - People like me don't have any say about what the EU does,United Kingdom
q_eu_efficacy_nosay_fra,q_eu_efficacy_nosay_fra_raw,Q35_3,2,Dans quelle mesure êtes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes? - Les personnes comme moi n'ont pas leur mot à dire sur ce que fait l'UE,France
q_eu_efficacy_understand,q_eu_efficacy_understand_raw,Q73_1,1,Please tell me to what extent you agree or disagree with each of the following statements. - I can understand and evaluate important political questions about the EU,United Kingdom
q_eu_efficacy_understand,q_eu_efficacy_understand_raw,Q21_1,2,Please tell me to what extent you agree or disagree with each of the following statements. - I can understand and evaluate important political questions about the EU,United Kingdom
q_eu_efficacy_understand,q_eu_efficacy_understand_raw,Q35_1,3,Please tell me to what extent you agree or disagree with each of the following statements. - I can understand and evaluate important political questions about the EU,United Kingdom
q_eu_efficacy_understand_c,q_eu_efficacy_understand_c_raw,Q239_1,2,Please tell me to what extent you agree or disagree with each of the following statements. - I can understand and evaluate important political issues about the UK,United Kingdom
q_eu_efficacy_understand_fra,q_eu_efficacy_understand_fra_raw,Q35_1,2,Dans quelle mesure êtes-vous d'accord ou pas d'accord avec chacune des affirmations suivantes? - Je peux comprendre et évaluer des questions politiques importantes concernant l'UE,France
q_eu_imp_nat_cul,q_eu_imp_nat_cul_raw,Q25_2,2,Could you tell me whether you think that the EU has a rather positive or rather negative effect on each of the following domains? - Our culture and identity,United Kingdom
q_eu_imp_nat_cul,q_eu_imp_nat_cul_raw,Q39_2,3,Could you tell me whether you think that the EU has a rather positive or rather negative effect on each of the following domains? - Our culture and identity,United Kingdom
q_eu_imp_nat_cul_fra,q_eu_imp_nat_cul_fra_raw,Q39_2,2,Pouvez-vous me dire si vous pensez que l'UE a un effet plutôt positif ou plutôt négatif sur chacun des domaines suivants? - Notre culture et notre identité,France
q_eu_imp_nat_econ,q_eu_imp_nat_econ_raw,Q25_1,2,Could you tell me whether you think that the EU has a rather positive or rather negative effect on each of the following domains? - UK economy,United Kingdom
q_eu_imp_nat_econ,q_eu_imp_nat_econ_raw,Q39_1,3,Could you tell me whether you think that the EU has a rather positive or rather negative effect on each of the following domains? - UK's economy,United Kingdom
q_eu_imp_nat_econ_fra,q_eu_imp_nat_econ_fra_raw,Q39_1,2,Pouvez-vous me dire si vous pensez que l'UE a un effet plutôt positif ou plutôt négatif sur chacun des domaines suivants? - L'économie de la France,France
q_eu_imp_nat_pol,q_eu_imp_nat_pol_raw,Q25_3,2,Could you tell me whether you think that the EU has a rather positive or rather negative effect on each of the following domains? - UK's political status and influence,United Kingdom
q_eu_imp_nat_pol,q_eu_imp_nat_pol_raw,Q39_3,3,Could you tell me whether you think that the EU has a rather positive or rather negative effect on each of the following domains? - UK's political status and influence,United Kingdom
q_eu_imp_nat_pol_fra,q_eu_imp_nat_pol_fra_raw,Q39_3,2,Pouvez-vous me dire si vous pensez que l'UE a un effet plutôt positif ou plutôt négatif sur chacun des domaines suivants? - Le statut et l'influence politique de la France,France
q_eu_informed_cjeu,q_eu_informed_cjeu_raw,Q131_4,1,"I would like to ask you a question about certain institutions. For each of the following institutions, do you consider that you are very well, fairly well, fairly badly or very badly informed about it? - Court of Justice of the European Union",United Kingdom
q_eu_informed_cjeu,q_eu_informed_cjeu_raw,Q225_4,2,"I would like to ask you a question about certain institutions. For each of the following institutions, do you consider that you are very well, fairly well, fairly badly or very badly informed about it? - Court of Justice of the European Union",United Kingdom
q_eu_informed_cjeu,q_eu_informed_cjeu_raw,Q232_4,3,"I would like to ask you a question about certain institutions. For each of the following institutions, do you consider that you are very well, fairly well, fairly badly or very badly informed about it? - Court of Justice of the European Union",United Kingdom
q_eu_informed_cjeu_fra,q_eu_informed_cjeu_fra_raw,Q232_4,2,"Pour chacune des institutions suivantes, estimez-vous être très bien informé(e), assez bien informé(e), mal informé(e) ou très mal informé(e) ? - La Cour de justice de l'Union européenne",France
q_eu_informed_com,q_eu_informed_com_raw,Q131_1,1,"I would like to ask you a question about certain institutions. For each of the following institutions, do you consider that you are very well, fairly well, fairly badly or very badly informed about it? - European Commission",United Kingdom
q_eu_informed_com,q_eu_informed_com_raw,Q225_1,2,"I would like to ask you a question about certain institutions. For each of the following institutions, do you consider that you are very well, fairly well, fairly badly or very badly informed about it? - European Commission",United Kingdom
q_eu_informed_com,q_eu_informed_com_raw,Q232_1,3,"I would like to ask you a question about certain institutions. For each of the following institutions, do you consider that you are very well, fairly well, fairly badly or very badly informed about it? - European Commission",United Kingdom
q_eu_informed_com_fra,q_eu_informed_com_fra_raw,Q232_1,2,"Pour chacune des institutions suivantes, estimez-vous être très bien informé(e), assez bien informé(e), mal informé(e) ou très mal informé(e) ? - La Commission européenne",France
q_eu_informed_cou,q_eu_informed_cou_raw,Q131_2,1,"I would like to ask you a question about certain institutions. For each of the following institutions, do you consider that you are very well, fairly well, fairly badly or very badly informed about it? - Council of the European Union",United Kingdom
q_eu_informed_cou,q_eu_informed_cou_raw,Q225_2,2,"I would like to ask you a question about certain institutions. For each of the following institutions, do you consider that you are very well, fairly well, fairly badly or very badly informed about it? - Council of the European Union",United Kingdom
q_eu_informed_cou,q_eu_informed_cou_raw,Q232_2,3,"I would like to ask you a question about certain institutions. For each of the following institutions, do you consider that you are very well, fairly well, fairly badly or very badly informed about it? - Council of the European Union",United Kingdom
q_eu_informed_cou_fra,q_eu_informed_cou_fra_raw,Q232_2,2,"Pour chacune des institutions suivantes, estimez-vous être très bien informé(e), assez bien informé(e), mal informé(e) ou très mal informé(e) ? - Le Conseil de l'Union européenne",France
q_eu_informed_ecb,q_eu_informed_ecb_raw,Q131_5,1,"I would like to ask you a question about certain institutions. For each of the following institutions, do you consider that you are very well, fairly well, fairly badly or very badly informed about it? - European Central Bank",United Kingdom
q_eu_informed_ep,q_eu_informed_ep_raw,Q131_3,1,"I would like to ask you a question about certain institutions. For each of the following institutions, do you consider that you are very well, fairly well, fairly badly or very badly informed about it? - European Parliament",United Kingdom
q_eu_informed_ep,q_eu_informed_ep_raw,Q225_3,2,"I would like to ask you a question about certain institutions. For each of the following institutions, do you consider that you are very well, fairly well, fairly badly or very badly informed about it? - European Parliament",United Kingdom
q_eu_informed_ep,q_eu_informed_ep_raw,Q232_3,3,"I would like to ask you a question about certain institutions. For each of the following institutions, do you consider that you are very well, fairly well, fairly badly or very badly informed about it? - European Parliament",United Kingdom
q_eu_informed_ep_fra,q_eu_informed_ep_fra_raw,Q232_3,2,"Pour chacune des institutions suivantes, estimez-vous être très bien informé(e), assez bien informé(e), mal informé(e) ou très mal informé(e) ? - Le Parlement européen",France
q_eu_int,q_eu_int_raw,Q145_2,1,Please tell me to what extent you agree or disagree with each of the following statements. - I am very interested in European politics,United Kingdom
q_eu_int,q_eu_int_raw,Q222_2,2,Please tell me to what extent you agree or disagree with each of the following statements. - I am very interested in European politics,United Kingdom
q_eu_int,q_eu_int_raw,Q229_2,3,Please tell me to what extent you agree or disagree with each of the following statements. - I am very interested in European politics,United Kingdom
